
2025/07/21 (11:26:26) | ===> btop++ v.1.4.0
2025/07/21 (11:26:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/21 (11:26:58) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (14:39:57) | ===> btop++ v.1.4.0
2025/07/21 (14:39:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/21 (15:55:05) | ===> btop++ v.1.4.0
2025/07/21 (15:55:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/21 (15:55:11) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (16:11:54) | ===> btop++ v.1.4.0
2025/07/21 (16:11:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/21 (16:42:41) | ===> btop++ v.1.4.0
2025/07/21 (16:42:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/21 (17:05:10) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (17:05:13) | ===> btop++ v.1.4.0
2025/07/21 (17:05:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/21 (18:48:53) | ===> btop++ v.1.4.0
2025/07/21 (18:48:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/21 (21:00:51) | ===> btop++ v.1.4.0
2025/07/21 (21:00:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/21 (21:00:56) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (21:01:01) | ===> btop++ v.1.4.0
2025/07/21 (21:01:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/21 (21:01:03) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:38:42) | ===> btop++ v.1.4.0
2025/07/22 (16:38:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:38:46) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:39:07) | ===> btop++ v.1.4.0
2025/07/22 (16:39:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:39:08) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:39:21) | ===> btop++ v.1.4.0
2025/07/22 (16:39:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:39:25) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:39:32) | ===> btop++ v.1.4.0
2025/07/22 (16:39:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:39:34) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:39:37) | ===> btop++ v.1.4.0
2025/07/22 (16:39:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:39:41) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:39:54) | ===> btop++ v.1.4.0
2025/07/22 (16:39:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:39:56) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:40:03) | ===> btop++ v.1.4.0
2025/07/22 (16:40:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:40:06) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:40:38) | ===> btop++ v.1.4.0
2025/07/22 (16:40:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/22 (16:40:45) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (16:40:46) | ===> btop++ v.1.4.0
2025/07/22 (16:40:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
